player computer r s p
pprpr pssps 1 3 0
pprpr pssrp 0 0 1
pprpr rpspp 1 0 0
pprpr rpsss 2 0 0
pprpr rrsss 2 3 0
pprpr rsspr 0 4 0
pprpr rssps 0 2 1
pprpr rssrp 1 3 1
pprpr sppss 0 1 0
pprpr spspp 1 2 0
pprpr spssr 0 1 0
pprpr srspr 0 0 1
pprpr srsss 0 0 1
pprpr ssspp 0 1 1
pprpr ssspr 0 1 0
pprpr sssrp 0 1 0
pprpr sssrr 3 1 2
pprps ppppr 0 1 0
pprps ppsrp 1 0 0
pprps prrsp 0 1 0
pprps prrss 1 0 0
pprps psspp 2 0 1
pprps psspr 4 6 7
pprps pssps 0 1 2
pprps pssrp 0 1 0
pprps rrsps 0 1 0
pprps rrsss 2 5 3
pprps rsprr 0 0 1
pprps rsrpr 0 1 0
pprps rsrrr 0 1 0
pprps rsspr 2 0 0
pprps rssps 1 1 3
pprps rssrp 1 2 2
pprps rssrr 0 1 0
pprps rsssr 0 0 1
pprps srspp 0 0 1
pprps srspr 0 0 1
pprps srsss 0 1 0
pprps ssspp 1 1 0
pprps ssspr 0 1 4
pprps sssrr 1 1 8
pprps sssrs 3 1 0
pprps sssss 0 1 0
pprr ppsp 0 1 0
pprr ppsr 0 2 0
pprr prps 0 1 0
pprr prrs 0 1 0
pprr prsr 3 2 0
pprr prss 0 1 0
pprr psrr 0 1 0
pprr psrs 1 0 0
pprr pssp 28 36 48
pprr pssr 2 4 1
pprr psss 2 0 1
pprr rppp 1 1 1
pprr rpss 2 3 0
pprr rrps 0 0 1
pprr rrrp 1 0 2
pprr rrsr 0 1 0
pprr rrss 3 8 9
pprr rsrr 1 0 0
pprr rsrs 0 2 0
pprr rssp 5 11 5
pprr rssr 3 4 12
pprr rsss 6 1 1
pprr spps 0 1 0
pprr spsp 4 2 2
pprr spsr 1 0 0
pprr spss 1 0 0
pprr srsp 1 0 0
pprr srsr 1 0 0
pprr srss 0 3 0
pprr ssps 0 1 0
pprr ssrp 0 2 0
pprr ssrs 0 2 0
pprr sssp 3 10 1
pprr sssr 12 26 12
pprr ssss 1 0 0
pprrp psspp 0 1 0
pprrp psspr 22 1 0
pprrp pssps 8 10 6
pprrp pssrr 0 0 1
pprrp pssss 0 0 1
pprrp rpppp 0 0 1
pprrp rrpsr 0 0 1
pprrp rrrpp 0 0 1
pprrp rrrpr 0 0 1
pprrp rrssr 2 1 2
pprrp rrsss 1 1 2
pprrp rsspr 2 3 0
pprrp rssrp 0 2 0
pprrp rssrr 0 0 2
pprrp rssrs 3 4 1
pprrp rsssp 0 1 0
pprrp spspp 0 2 0
pprrp ssspr 0 1 0
pprrp sssrr 3 4 3
pprrp sssrs 1 1 0
pprrr prsrr 3 0 0
pprrr psrsr 0 1 0
pprrr psspp 1 0 0
pprrr pssps 9 11 6
pprrr pssrp 0 1 0
pprrr pssrr 1 0 0
pprrr psssp 0 1 0
pprrr pssss 1 0 0
pprrr rppps 0 1 0
pprrr rpssr 0 1 1
pprrr rrrps 1 0 0
pprrr rrsss 1 1 1
pprrr rsrrp 1 0 0
pprrr rsspr 1 2 2
pprrr rssrs 2 0 1
pprrr rsssp 0 1 0
pprrr rsssr 0 0 3
pprrr rssss 2 0 0
pprrr spspp 2 1 0
pprrr spsps 0 1 0
pprrr spsrs 0 1 0
pprrr spsss 1 0 0
pprrr srsps 0 1 0
pprrr srsrs 1 0 0
pprrr ssspp 0 0 1
pprrr ssspr 0 2 0
pprrr sssrr 2 2 3
pprrr sssrs 3 2 0
pprrr ssssr 1 0 0
pprrs ppsrp 1 0 0
pprrs ppsrr 0 0 1
pprrs prpsr 0 1 0
pprrs prrss 0 1 0
pprrs prssp 0 1 0
pprrs psrrr 0 0 1
pprrs pssps 14 9 13
pprrs pssrp 0 1 1
pprrs pssrr 2 0 0
pprrs rppps 1 0 0
pprrs rpssp 0 0 1
pprrs rpssr 0 1 1
pprrs rrsrs 0 1 0
pprrs rrssr 1 0 0
pprrs rrsss 1 4 2
pprrs rsrsr 0 2 0
pprrs rsspp 0 1 0
pprrs rsspr 2 1 6
pprrs rssps 1 0 0
pprrs rssrs 0 1 3
pprrs rsssr 0 0 1
pprrs sppsr 0 0 1
pprrs spspp 0 0 2
pprrs srssr 0 1 1
pprrs sspsp 1 0 0
pprrs ssrpp 0 1 0
pprrs ssrpr 0 0 1
pprrs ssrsr 1 0 1
pprrs ssspp 0 1 0
pprrs ssspr 4 4 1
pprrs sssrp 0 2 0
pprrs sssrr 3 7 7
pprrs sssrs 2 2 2
pprs ppsr 2 0 2
pprs ppss 1 0 0
pprs prpr 0 0 1
pprs prsr 3 1 1
pprs prss 0 1 1
pprs psrp 0 1 1
pprs pssp 26 28 41
pprs pssr 1 0 3
pprs psss 2 0 2
pprs rppp 0 0 2
pprs rpss 1 2 3
pprs rrss 4 16 10
pprs rsrs 0 1 0
pprs rssp 12 9 17
pprs rssr 7 9 11
pprs spsp 2 0 4
pprs spsr 0 1 0
pprs srss 2 2 2
pprs ssrp 1 1 0
pprs ssrs 0 0 1
pprs sssp 6 7 8
pprs sssr 11 18 31
pprs ssss 1 0 1
pprsp ppsrp 1 0 0
pprsp ppsrs 0 0 1
pprsp prprs 1 0 0
pprsp prsrs 0 0 1
pprsp prsss 1 0 0
pprsp psrpp 1 0 0
pprsp psspp 7 5 1
pprsp psspr 0 1 1
pprsp pssps 9 8 9
pprsp pssrp 0 1 0
pprsp pssrs 1 0 1
pprsp psssp 1 1 0
pprsp rppps 0 2 0
pprsp rpssr 1 1 0
pprsp rpsss 1 0 0
pprsp rrssp 0 2 0
pprsp rrssr 6 0 1
pprsp rsspp 2 4 3
pprsp rsspr 0 0 1
pprsp rssps 3 0 2
pprsp rssrp 0 1 0
pprsp rssrr 3 3 1
pprsp rssrs 1 1 0
pprsp spsps 1 0 3
pprsp srssr 0 2 0
pprsp ssrsr 0 1 0
pprsp ssspp 0 0 1
pprsp ssspr 2 1 2
pprsp sssps 1 1 0
pprsp sssrp 0 0 1
pprsp sssrr 3 2 3
pprsp sssrs 14 5 3
pprsp ssssr 0 0 1
pprsr ppsrp 0 1 0
pprsr ppsrr 0 1 0
pprsr ppssr 0 0 1
pprsr prsrp 1 0 1
pprsr prsrs 0 1 0
pprsr psspp 2 2 9
pprsr psspr 0 0 1
pprsr pssps 1 4 4
pprsr pssrs 0 1 0
pprsr pssss 1 1 0
pprsr rpsss 0 0 1
pprsr rrssp 1 0 1
pprsr rrssr 0 0 1
pprsr rsspp 2 1 7
pprsr rssps 0 1 1
pprsr rssrr 0 1 3
pprsr rssrs 0 1 1
pprsr spsps 0 0 2
pprsr srssr 0 1 0
pprsr srsss 0 0 1
pprsr ssrpp 0 0 1
pprsr ssspp 0 0 1
pprsr ssspr 1 2 1
pprsr sssps 0 0 1
pprsr sssrs 4 3 4
pprsr sssss 0 0 1
pprss prsrp 0 0 1
pprss prsss 0 1 0
pprss psrps 0 1 0
pprss psspp 7 1 7
pprss pssps 2 5 6
pprss rpssp 0 1 0
pprss rpsss 0 1 0
pprss rrssp 1 1 0
pprss rrssr 2 3 8
pprss rsrss 0 0 1
pprss rsspp 2 2 2
pprss rssps 0 1 2
pprss rssrp 1 0 1
pprss rssrr 1 1 0
pprss rssrs 1 0 4
pprss spsrr 0 0 1
pprss srssp 0 1 0
pprss srssr 0 1 0
pprss ssrpp 1 0 0
pprss ssspp 1 2 0
pprss ssspr 1 1 1
pprss sssps 0 1 0
pprss sssrp 0 1 0
pprss sssrr 0 1 0
pprss sssrs 3 3 10
pps pps 4 3 3
pps prp 0 1 4
pps prr 0 1 1
pps prs 3 6 11
pps psp 2 0 1
pps psr 3 3 2
pps pss 87 85 87
pps rpp 1 1 0
pps rpr 0 1 0
pps rps 1 4 8
pps rrp 3 0 0
pps rrr 2 1 2
pps rrs 30 32 32
pps rsp 2 1 2
pps rsr 4 2 0
pps rss 65 44 49
